Species	1-237	238-740	741-1217	1218-1862	1863-2468	2469-3047	3048-3921	3922-4034	4035-4277	4278-4897	4898-5226	5227-5885	5886-6378	6379-6674	6675-7124	7125-7577	7578-7694	7695-8128	8129-8361	8362-8559	8560-8749	8750-9363	9364-9785	9786-9947	9948-10511	10512-10646	10647-11108	11109-11482	11483-11736	11737-12212	12213-12689	12690-13379	13380-14345	14346-14726	14727-15001	15002-15141	15142-15542	15543-15709	15710-15977	15978-16276	16277-16694	16695-17410	17411-17695	17696-18221	18222-18751	18752-19094	19095-19538	19539-19877	19878-20454	20455-20862	20863-21045	21046-21231	21232-21828	21829-22629	22630-23484	23485-23772	23773-24772	24773-24976	24977-25147	25148-25392	25393-25766	25767-26043	26044-26232	26233-26765	26766-27096	27097-27353	27354-27722	27723-28065	28066-28489	28490-28706	28707-29001	29002-29526	29527-30272	30273-30877	30878-31272	31273-31874	31875-32327	32328-32880	32881-33750	33751-33914	33915-34460	34461-34636	34637-35318	35319-35652	35653-35806	35807-36186	36187-36800	36801-37530	37531-37920	37921-38013	38014-38405	38406-38800	38801-39395	39396-39660	39661-39843	39844-39969	39970-40325	40326-40643	40644-41053	41054-41437	41438-41941	41942-42342	42343-42691	42692-43427	43428-43714	43715-43943	43944-44272	44273-44656	44657-44795	44796-45614	45615-45996	45997-46196	46197-46744	46745-47353	47354-47931	47932-48873	48874-49388
Beroe_sp_Queensland_Australia	0	0	0	32	0	43	0	92	0	0	0	0	0	0	100	0	0	0	0	0	0	98	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	49	94	0	0	0	100	0	0	0	32	0	0	0	37	0	0	0	0	0	0	0	83	0	0	0	0	0	35	44	0	64	0	0	0	17	15	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	100	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	100	30	34
Beroe_forskalii	0	0	0	60	0	0	60	92	0	0	0	0	0	0	100	70	0	0	0	0	0	63	0	0	68	0	0	0	0	0	0	63	0	0	0	0	0	0	100	0	0	0	0	40	100	0	0	0	100	0	0	0	0	19	52	0	20	0	0	0	0	0	0	0	100	0	0	0	0	0	0	35	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	53	0	48	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	17
Lobatolampea_tetragona	0	0	0	17	0	19	0	0	40	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	18	59	0	0	99	0	0	14	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	35	91	0	0	0	0	0	0	0	0	0	0	0	42	0	0	44	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	79	14	0	0	0	0	19	14	0
Ocyropsis_sp_Bimini_Bahamas	0	0	0	53	37	0	73	0	0	0	0	41	0	0	100	77	0	76	0	0	0	29	0	0	68	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	68	0	0	0	100	0	0	0	59	0	18	0	0	0	0	0	0	0	0	54	93	0	0	100	0	0	0	60	0	55	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	52	0	0	37	0	0	0	0	0	0	0	0	0	0	62	0	59
Ocyropsis_crystallina	0	0	0	100	0	98	79	0	0	0	0	81	0	0	100	100	0	0	0	0	0	100	0	0	99	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	0	0	100	0	0	0	37	0	0	0	0	0	0	66	93	0	0	100	0	0	100	100	22	100	0	0	0	93	33	0	0	0	49	0	82	0	0	0	0	0	84	0	0	0	0	0	0	0	0	90	92	0	0	0	0	0	0	0	0	0	0	0	0	0	90	54	100
Ocyropsis_sp_Florida_USA	0	0	0	0	16	0	36	0	0	0	0	84	0	0	36	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	45	33	0	0	0	0	0	0	0	21	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	54	0	0
Bolinopsis_infundibulum	0	0	0	0	0	0	9	0	0	0	0	0	0	0	36	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	16	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	59
Mnemiopsis_leidyi	0	0	0	0	96	16	79	0	0	0	0	0	0	0	58	82	95	30	0	0	0	97	0	90	94	0	50	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	63	0	0	0	73	0	0	0	98	0	17	0	0	0	0	0	0	0	0	45	0	0	0	69	0	0	0	66	85	100	0	0	0	44	97	0	0	0	46	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	93	39	0	0	0	0	0	0	0	77	25	0	0	51	26	22	54	0
Bolinopsis_ashleyi	0	100	0	0	0	0	0	0	0	0	78	0	0	0	0	100	0	100	0	0	0	0	0	92	0	0	0	0	0	78	76	0	0	0	0	71	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	25	0	0	45	100	0	0	0	100	0	0	0	23	0	30	0	0	0	86	0	0	0	98	0	0	0	0	0	100	0	0	76	0	100	0	0	0	0	0	0	85	0	77	0	0	0	100	20	0	0	0	0	100	48	0	0	0	0	0	0	20
Lobata_sp_Punta_Arenas_Argentina	0	0	0	0	17	0	14	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	59	0	0	0	39	0	0	0	0	31	0	0	0	90	0	0	50	0	0	0	0	0	0	0	0	0	0	0	36	0	0	34	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
